Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2884699,Yes,Pakistan,Multan,Pediatric,Pediatric ICU,,Semiprivate,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,<2 years,Yes,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it","B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",I don't know,I don't know,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,No,No,Lectures Simulations,Lectures,Lectures,Handouts,Physician,Physician,Physician,Physician,Physician,Physician,No,Nalbuphine,,Yes,Yes,No,Midazolam Diazepam Lorazepam Propofol Ketamine Dexmedetomidine Chloral hydrate,,Yes,No,Yes,Within 4-6 days of admission,Daily,I don't know,No,No,No,No,No,No,Yes,Yes,No,Yes,1,1,8,8,Not a Barrier,Not a Barrier,Not a Barrier,A,Completed,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SC-2884702,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Government,,21 - 30 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),I don't know,Simulations,Simulations,Simulations,Simulations,Simulations,Simulations,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Yes,Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine Chloral hydrate,,Yes,No,Yes,Within 1-3 days of admission,Multiple times a day,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not a Barrier,1,1,4,5,Not a Barrier,Not a Barrier,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884704,Yes,Pakistan,Islamabad,Adult,Surgical ICU Medical ICU Cardiac Thoracic ICU Pediatric ICU Other,NeuroICU,Private,,21 - 30 beds,1 nurse to 2 patients,Yes,Registered Nurse,,6 - 10 years,Yes,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Videos Handouts,Simulations,Handouts,Handouts,Handouts Simulations,Handouts,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,I don't know,Within 1-3 days of admission,Variable,No,Yes,Yes,Yes,I don't know,No,No,Yes,No,No,Yes,1,1,2,1,7,2,7,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884708,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Government,,21 - 30 beds,1 nurse to 2 patients,Yes,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,"I have heard of it, but I don't know much about it","D: Delirium Assessment, Prevention and Management E: Early Mobility",I don't know,Compliant on most patients,I don't know,Compliant on most patients,Compliant on most patients,I don't know,Compliant on most patients,Simulations,Handouts,Handouts,No,No,No,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Yes,Ketamine Paracetamol Nalbuphine,,Yes,I don't know,I don't know,Midazolam Ketamine Chloral hydrate,,Yes,I don't know,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,7,8,7,8,7,8,7,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884710,Yes,Pakistan,Karachi,Both Adult and Pediatric,Cardiac Thoracic ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,3 - 5 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Non-Compliant,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Videos Simulations,Videos Lectures,Lectures,No,Videos Lectures Handouts Simulations,Videos Lectures Handouts,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,No,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine Chloral hydrate,,No,No,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,4,6,Not a Barrier,Not a Barrier,4,Not a Barrier,2,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884714,Yes,Pakistan,Shangla,Both Adult and Pediatric,Medical ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Registered Nurse,,<2 years,No,Member of the Multidisciplinary Team,,,,,,,Active Participation / Present During Rounds,,,,0,,,I have never heard of it,None of them,I don't know,I don't know,Non-Compliant,Compliant on some patients,I don't know,I don't know,Fully Compliant (on all eligible patients),No,No,Lectures,No,Lectures,Lectures,Physician,,Physician Registered Nurse,Physician,Registered Nurse,Physician Registered Nurse,Yes,Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,No,No,No,Midazolam Diazepam Lorazepam Propofol Ketamine,,No,Yes,Yes,Within 1-3 days of admission,Daily,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,7,5,8,7,5,5,6,Power supply,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884717,Yes,India,Bengaluru,Pediatric,Pediatric ICU,,Government University/Academic Hospital,,>40 beds,1 nurse to >10 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,No,Videos Lectures,Lectures,Lectures,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,No,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Lorazepam Ketamine Dexmedetomidine,,Yes,No,No,Within 4-6 days of admission,Daily,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,1,1,5,1,4,Not a Barrier,Not a Barrier,Understaffed And high work load,Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2884723,Yes,Pakistan,Peshawar,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Private Semiprivate District Hospital,,11 - 20 beds,1 nurse to 1 patient,Yes,Registered Nurse,,6 - 10 years,Yes,,,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,No,No,Handouts,No,Handouts,Handouts,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse,Training MD Intern / Resident / Fellow Registered Nurse,No,Fentanyl Hydromorphone Morphine Ketamine Methadone Remifentanyl Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam Propofol Ketamine,,No,Yes,No,Within 1-3 days of admission,Multiple times a day,No,Yes,I don't know,No,I don't know,Yes,No,Yes,No,No,Yes,1,Not a Barrier,6,6,7,6,6,"Limited resources and lack of education, also no any ICU expert in ICUs.",Completed,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
SC-2884727,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,6 - 10 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Somewhat Familiar,B: Spontaneous Breathing Trial,I don't know,I don't know,Compliant on most patients,I don't know,I don't know,I don't know,I don't know,Lectures,Lectures,Lectures,No,Lectures,No,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,,Physician Training MD Intern / Resident / Fellow,,Yes,Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,I don't know,Midazolam Diazepam Ketamine Dexmedetomidine Chloral hydrate,,I don't know,No,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,5,6,3,6,1,5,Not a Barrier,,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884731,Yes,India,Chennai,Pediatric,Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Semiprivate,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SC-2884734,Yes,India,Ludhiana,Pediatric,Pediatric ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,No,,,Member of the Multidisciplinary Team,,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,,Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it",B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation,No,Non-Compliant,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Ketamine Chloral hydrate,,No,Yes,I don't know,Within 4-6 days of admission,Every other day,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,1,6,6,6,5,Not a Barrier,Not a Barrier,Knowledge about this bundle,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2884735,Yes,India,Chennai,Pediatric,Pediatric ICU,,Private University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,Yes,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884736,Yes,India,New Yorkew Delhi,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,,,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine Chloral hydrate,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,3,3,2,3,3,3,3,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884745,Yes,Pakistan,Lahore,Both Adult and Pediatric,Medical ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,0,Anesthesia,Anesthesia,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,Simulations No,Simulations No,Simulations No,Simulations No,Physician Registered Nurse,Physician Registered Nurse,Physician,Physician,Registered Nurse,Physician Registered Nurse,Yes,Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam,,No,No,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884747,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,3 - 5 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2884748,Yes,Pakistan,Karachi,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2884751,Yes,Pakistan,Karachi,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Private University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Registered Nurse,,11 - 15 years,Yes,,,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2884753,Yes,Pakistan,Peshawar,Both Adult and Pediatric,Surgical ICU Medical ICU Pediatric ICU,,Government Private,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,<2 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,Neurosurgeon and general surgeon,,Somewhat Familiar,B: Spontaneous Breathing Trial,Yes,Non-Compliant,Compliant on some patients,Compliant on most patients,Non-Compliant,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures,Videos,Lectures,Lectures,Videos Lectures,Videos Lectures,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,No,Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Diazepam,,No,No,Yes,Within 4-6 days of admission,Every other day,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,1,1,1,1,Not a Barrier,1,1,Fund and lack of knowledge and councelling,Completed,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
SC-2884754,Yes,Pakistan,Karachi,Adult,Medical-Surgical Mixed ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,Yes,Pharmacist,,>15 years,Yes,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Lectures,No,Lectures,Lectures,No,No,Physician,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Registered Nurse,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nalbuphine,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Variable,No,I don't know,No,No,No,No,No,I don't know,I don't know,No,Yes,3,2,2,3,5,3,3,Thanks,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
