Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2885497,Yes,Brazil,Rio de Janeiro,Adult,Medical ICU,,Private,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,2,1,Not a Barrier,1,Not a Barrier,Not a Barrier,Not a Barrier,,Completed
SC-2899504,Yes,Brazil,Salvador,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,University/Academic Hospital District Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2894797,Yes,Canada,Montreal,Adult,Surgical ICU Medical ICU,,Community Hospital/Secondary,,21 - 30 beds,1 nurse to 2 patients,No,Other,Nurse practionner,3 - 5 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Lectures,No,Lectures,Lectures,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,No,Hydromorphone Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Variable,No,No,I don't know,No,No,No,Yes,Yes,No,Yes,Yes,7,6,8,8,7,7,4,Bo,Completed
SC-2872948,Yes,Canada,Multiple cities outside of Vancouver,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 1 patient,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Hydromorphone Ketamine Methadone,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 4-6 days of admission,Every other day,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,1,5,2,3,8,7,4,Time for staff to learn,Completed
SC-2911959,Yes,Colombia,Medellín,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 6-10 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Ketamine Methadone,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,No,I don't know,No,No,Yes,Yes,Yes,Yes,6,5,4,5,6,4,4,,Completed
SC-2931813,Yes,Ecuador,Quito,Pediatric,Pediatric ICU,,Semiprivate,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - , - ,,,"I have heard of it, but I don't know much about it","C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,No,Lectures Handouts,Lectures Handouts,Videos Lectures Handouts,Videos Lectures,Lectures,Physician Registered Nurse,Physician,Physician,Physician,Physician Respiratory Therapist,Physician,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol Dexmedetomidine,,Yes,Yes,No,Within 4-6 days of admission,Daily,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,3,4,5,6,7,2,1,Enough personal,Completed
SC-2895401,Yes,Ecuador,Quito,Pediatric,Surgical ICU Medical ICU Pediatric ICU,,Other,Private non profit,Less than 10 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - , - ,,,"I have heard of it, but I don't know much about it",None of them,No,Compliant on most patients,Non-Compliant,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,No,Handouts,Handouts,Handouts,Handouts,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol,,No,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,1,1,2,2,1,2,2,Lack of protocols,Completed
SC-2936866,Yes,Egypt,Port said,Adult,Medical-Surgical Mixed ICU,,Government,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - , - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2936232,Yes,Egypt,Cairo,Adult,Medical-Surgical Mixed ICU,,Government Private,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it",None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,No,Lectures,Lectures,No,No,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl Morphine Ketamine Paracetamol Nalbuphine,,Yes,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine,,No,Yes,No,Within 4-6 days of admission,Daily,No,Yes,No,No,No,No,No,No,No,No,Yes,8,5,8,8,Not a Barrier,6,6,,Completed
SC-2936744,Yes,Egypt,Cairo,Adult,Medical ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2940044,Yes,Egypt,Cairo,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Government Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures,Videos Lectures,Videos Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,,Completed
SC-2936234,Yes,Egypt,Alexandria,Adult,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Clinical pharmacist,"I have heard of it, but I don't know much about it",None of them,No,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Non-Compliant,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Paracetamol Nalbuphine,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,No,Yes,Yes,Within 4-6 days of admission,Daily,No,No,No,No,No,No,No,No,No,No,Yes,1,1,6,1,7,2,2,,Completed
SC-2872964,Yes,Ethiopia,Adigrat,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,3 - 5 years,No, - ,Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - , - , - , - ,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",Yes,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Non-Compliant,Videos Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Diazepam Propofol Ketamine,,Yes,Yes,No,Within 7-10 days of admission,Every other day,No,Yes,I don't know,I don't know,I don't know,No,No,No,Yes,No,Yes,6,4,1,1,5,3,3,,Completed
SC-2939847,Yes,Ethiopia,Bahir Dar,Adult,Surgical ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,No,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,No,No,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation",No,Non-Compliant,Non-Compliant,Compliant on most patients,Compliant on some patients,Non-Compliant,Non-Compliant,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Diazepam Propofol Ketamine,,No,No,Yes,Never,Never,No,No,No,No,No,No,No,No,No,No,Yes,5,5,8,7,2,8,5,,Completed
SC-2911924,Yes,Ghana,Accra,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,<2 years,No, - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881407,Yes,Ghana,Kumasi,Pediatric,Medical-Surgical Mixed ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",No,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Non-Compliant,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures Handouts,Handouts,Videos Lectures Handouts,Handouts,No,Lectures,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Other,Clonidine,No,Yes,No,Within 7-10 days of admission,Variable,No,Yes,No,I don't know,I don't know,Yes,Yes,Yes,No,Yes,No,1,2,5,3,5,8,5,,Completed
SC-2882144,Yes,Ghana,Accra,Both Adult and Pediatric,Cardiac Thoracic ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,Yes,Registered Nurse,,11 - 15 years,Yes,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,X ray technician,,Somewhat Familiar,E: Early Mobility F: Family Engagement,No,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),No,Handouts,Lectures,Lectures,Lectures,Simulations,Physician,Physician,Physician,Physician Registered Nurse Respiratory Therapist None,Registered Nurse Respiratory Therapist,Physician Registered Nurse,No,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol,,No,No,No,Within 1-3 days of admission,Every other day,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,4,Not a Barrier,4,4,4,Not a Barrier,Not a Barrier,,Completed
SC-2881223,Yes,Ghana,Accra,Pediatric,Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,3 - 5 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2881299,Yes,Guatemala,Guatemala,Pediatric,Surgical ICU Medical ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital Non-academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,No, - , - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it",None of them,No,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures Handouts,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts,Videos Lectures Handouts,Videos Lectures Handouts Simulations,Physician Registered Nurse,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Registered Nurse,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Lorazepam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,I don't know,I don't know,No,Yes,Yes,Yes,Yes,Yes,8,4,7,6,1,5,5,lack of uniform criteria among different intensivist,Completed
SC-2912092,Yes,Guatemala,Guatemala,Adult,Surgical ICU,,Government University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,6 - 10 years,Yes, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Compliant on some patients,No,Lectures No,Lectures No,Lectures No,Lectures No,Lectures No,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs Other,Tramadol,Yes,Yes,No,Midazolam Propofol,,No,No,No,Within 4-6 days of admission,Multiple times a day,No,Yes,No,No,No,No,No,No,No,No,Yes,7,6,8,8,2,8,8,"Unit space, and security concerns",Completed
SC-2881475,Yes,Haiti,Port-au-Prince,Pediatric,Pediatric ICU,,University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,3 - 5 years,No, - , - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,"I have heard of it, but I don't know much about it",C: Choice of Analgesia and Sedation,No,Compliant on some patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Compliant on most patients,Fully Compliant (on all eligible patients),Videos,Videos,Lectures,Videos Lectures,Lectures,Videos,Physician,Physician,Physician,,Physician,Physician Registered Nurse,No,Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Ketamine Other,Fentanyl,No,No,No,Within 4-6 days of admission,Daily,Yes,Yes,No,I don't know,I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Not a Barrier,6,1,1,1,3,3,Lack of experience,Completed
