Country you practice in,count(Screening Number),Screening Number
Peru,3,0SC-2873068SC-2881432SC-2885993
Iraq,1,0SC-2873076
Jordan,5,0SC-2873078SC-2927824SC-2928572SC-2929522SC-2929815
Ghana,4,0SC-2881223SC-2881407SC-2882144SC-2911924
South Africa,6,0SC-2881285SC-2881321SC-2881411SC-2885521SC-2885881SC-2927674
Guatemala,2,0SC-2881299SC-2912092
Nicaragua,1,0SC-2881310
Haiti,1,0SC-2881475
china,1,0SC-2881514
Argentina,2,0SC-2881705SC-2898746
Australia,1,0SC-2881726
Vietnam,1,0SC-2881878
Namibia,1,0SC-2881919
Rwanda,3,0SC-2882150SC-2882610SC-2886018
Papua New Guinea,1,0SC-2882912
Kuwait,1,0SC-2884678
UAE,2,0SC-2884695SC-2925650
Malawi,6,0SC-2885384SC-2932564SC-2932565SC-2932586SC-2932642SC-2932782
Nepal,1,0SC-2885462
Brazil,5,0SC-2885497SC-2899504SC-2899910SC-2909890SC-2931811
dominican republic,1,0SC-2885506
Mexico,6,0SC-2885530SC-2885536SC-2911968SC-2912020SC-2912148SC-2931850
Bosnia and Herzegovina,1,0SC-2885624
Thailand,2,0SC-2885715SC-2904697
Indonesia,3,0SC-2885855SC-2885871SC-2889637
Ecuador,2,0SC-2895401SC-2931813
Oman,3,0SC-2895467SC-2895494SC-2895751
Colombia,1,0SC-2911959
Venezuela,1,0SC-2912062
